year,incident_hour,city,offense_category_name,criminal_act_name,location_area
2023,17,Thomaston,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,12,Torrington,Animal Cruelty,Intentional Abuse and Torture,Parking/Drop Lot/Garage
2023,12,Trumbull,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,11,Waterbury,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,11,Waterbury,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2023,11,Waterbury,Animal Cruelty,Intentional Abuse and Torture,Parking/Drop Lot/Garage
2023,14,Waterbury,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,22,Waterbury,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,13,Waterbury,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,6,Watertown,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,11,West Hartford,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,20,Wilton,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,17,Windsor,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,18,Wolcott,Animal Cruelty,Simple/Gross Neglect,Lake/Waterway/Beach
2023,17,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,16,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,16,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,11,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,13,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,13,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,17,Connecticut State Police,Animal Cruelty,Intentional Abuse and Torture,Highway/Road/Alley/Street/Sidewalk
2023,21,Connecticut State Police,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,11,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,11,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,11,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Parking/Drop Lot/Garage
2023,12,Connecticut State Police,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2023,17,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2023,10,Connecticut State Police,Animal Cruelty,Simple/Gross Neglect,Residence/Home
2022,16,Ledyard,Assault Offenses,None/Unknown,Residence/Home
2022,15,Ledyard,Assault Offenses,None/Unknown,Residence/Home
2022,23,Ledyard,Assault Offenses,None/Unknown,Highway/Road/Alley/Street/Sidewalk
2022,20,Ledyard,Assault Offenses,None/Unknown,Government/Public Building
2022,11,Ledyard,Assault Offenses,None/Unknown,Residence/Home
2022,0,Bethel,Assault Offenses,None/Unknown,Highway/Road/Alley/Street/Sidewalk
2022,0,Bethel,Assault Offenses,None/Unknown,Parking/Drop Lot/Garage
2022,0,Bethel,Assault Offenses,None/Unknown,Residence/Home
2022,0,Bethel,Assault Offenses,None/Unknown,Residence/Home
2022,0,Bethel,Assault Offenses,None/Unknown,Highway/Road/Alley/Street/Sidewalk
2022,0,Bethel,Assault Offenses,None/Unknown,Other/Unknown
2022,0,Bethel,Assault Offenses,None/Unknown,Residence/Home
2022,0,Bethel,Assault Offenses,None/Unknown,Residence/Home
2022,21,Brookfield,Assault Offenses,None/Unknown,Highway/Road/Alley/Street/Sidewalk
2022,11,Brookfield,Assault Offenses,None/Unknown,School-Elementary/Secondary
2022,18,Brookfield,Assault Offenses,None/Unknown,Residence/Home
2022,16,Brookfield,Assault Offenses,None/Unknown,Drug Store/Doctor's Office/Hospital
2022,21,Darien,Assault Offenses,Other Gang,Residence/Home
2022,12,Darien,Assault Offenses,None/Unknown,Residence/Home
2022,22,Darien,Assault Offenses,Other Gang,Highway/Road/Alley/Street/Sidewalk
2022,18,Darien,Assault Offenses,Other Gang,Residence/Home
2022,5,Darien,Assault Offenses,None/Unknown,Highway/Road/Alley/Street/Sidewalk
2022,16,Darien,Assault Offenses,None/Unknown,Parking/Drop Lot/Garage
2022,18,Darien,Assault Offenses,Other Gang,Bar/Nightclub
2022,20,Darien,Assault Offenses,Other Gang,Residence/Home
2022,1,Darien,Assault Offenses,None/Unknown,Highway/Road/Alley/Street/Sidewalk
2022,10,Darien,Assault Offenses,None/Unknown,Parking/Drop Lot/Garage
2022,7,Darien,Assault Offenses,None/Unknown,Residence/Home
2022,1,Darien,Assault Offenses,Other Gang,Residence/Home
2022,13,Darien,Assault Offenses,Other Gang,Cyberspace
2022,20,Darien,Assault Offenses,Other Gang,Residence/Home
2022,1,Darien,Assault Offenses,None/Unknown,Residence/Home
2022,21,Darien,Assault Offenses,Other Gang,Residence/Home
2022,1,Darien,Assault Offenses,Other Gang,Residence/Home
2022,14,Darien,Assault Offenses,None/Unknown,Specialty Store
2022,21,Darien,Assault Offenses,None/Unknown,Residence/Home
2022,22,Darien,Assault Offenses,None/Unknown,Residence/Home
2022,20,Darien,Assault Offenses,None/Unknown,Residence/Home
2022,19,Darien,Assault Offenses,None/Unknown,Air/Bus/Train Terminal
2022,2,Darien,Assault Offenses,None/Unknown,Residence/Home
2022,8,Darien,Assault Offenses,None/Unknown,Residence/Home
2022,19,Darien,Assault Offenses,None/Unknown,Residence/Home
2022,13,Darien,Assault Offenses,None/Unknown,Specialty Store
2022,4,Darien,Assault Offenses,None/Unknown,Bar/Nightclub
2022,7,Darien,Assault Offenses,None/Unknown,Parking/Drop Lot/Garage
2022,15,Darien,Assault Offenses,None/Unknown,Residence/Home
2022,18,Granby,Assault Offenses,None/Unknown,Residence/Home
2022,21,Groton,Assault Offenses,None/Unknown,Residence/Home
2022,14,Groton,Assault Offenses,None/Unknown,Residence/Home
2022,17,Groton,Assault Offenses,None/Unknown,Highway/Road/Alley/Street/Sidewalk
