yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
21802022,2180,2022,CT0011000,CT0011000,,N,N,,I,PLAINVILLE,PLAINVILLE PD,Plainville,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,17413,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,35,2,37,5,6,11,2.3,2.8,1998-01-01,2018-10-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21812022,2181,2022,CT0011100,CT0011100,,N,N,,I,PLYMOUTH,PLYMOUTH PD TERRYVILLE,Plymouth,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,11655,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,21,1,22,1,1,2,1.9,2.1,1998-01-01,2001-09-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,LITCHFIELD,Not Specified,Y,Y,Y
21822022,2182,2022,CT0011300,CT0011300,,N,N,,I,PORTLAND,PORTLAND POLICE DEPARTMENT,Portland,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,9499,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,0,12,0,1,1,1.3,1.4,1998-01-01,2021-01-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,N,MIDDLESEX,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21842022,2184,2022,CT0011600,CT0011600,,N,N,,I,PUTNAM,PUTNAM PD,Putnam,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,9244,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,15,3,18,2,2,4,1.8,2.4,1998-01-01,1998-04-01,2021-03-01,2020-03-01,2021-03-01,2021-03-01,N,WINDHAM,"Worcester, MA-CT",Y,Y,Y
21852022,2185,2022,CT0011700,CT0011700,,N,N,,I,REDDING,REDDING POLICE DEPARTMENT,Redding,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,8732,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,5,18,3,1,4,1.8,2.5,1998-01-01,2002-07-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21862022,2186,2022,CT0011800,CT0011800,,N,N,,I,RIDGEFIELD,RIDGEFIELD PD,Ridgefield,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,25048,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,40,2,42,2,5,7,1.7,2.0,1998-01-01,2000-07-01,2020-11-01,2020-03-01,2020-11-01,2020-11-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21872022,2187,2022,CT0011900,CT0011900,,N,N,,I,ROCKY HILL,ROCKY HILL PD,Rocky Hill,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,20692,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,35,5,40,6,6,12,2.0,2.5,1998-01-01,2015-10-01,2020-12-01,2020-03-01,2020-12-01,2020-12-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21882022,2188,2022,CT0012400,CT0012400,,N,N,,I,SEYMOUR,SEYMOUR PD,Seymour,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,16634,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,33,0,33,5,2,7,2.3,2.4,1998-01-01,2009-01-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21892022,2189,2022,CT0012600,CT0012600,,N,N,,I,SHELTON,SHELTON PD,Shelton,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,42189,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,50,5,55,4,4,8,1.3,1.5,1998-01-01,2001-02-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21902022,2190,2022,CT0012800,CT0012800,,N,N,,I,SIMSBURY,SIMSBURY PD,Simsbury,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,25135,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,35,2,37,5,9,14,1.6,2.0,1998-01-01,2005-10-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
