year,agency_location,incident_date,incident_hour,agency_name,state,population,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,offense_name,offense_category_name,criminal_act_name,location_area
2021,2143,2021-05-13,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2143,2021-05-14,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-05-16,16,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2120,2021-04-21,21,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2021,2120,2021-04-23,10,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Convenience Store
2021,2143,2021-05-25,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-05-25,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-05-25,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-04-30,17,Ansonia,Connecticut,18452,32,1,33,6,9,15,Counterfeiting/Forgery,Counterfeiting/Forgery,Cultivating/Manufacturing/Publishing,Residence/Home
2021,2143,2021-05-27,10,East Windsor,Connecticut,11702,20,5,25,6,5,11,Counterfeiting/Forgery,Counterfeiting/Forgery,Using/Consuming,Other/Unknown
2021,2120,2021-05-07,22,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2021,2143,2021-06-18,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2143,2021-06-18,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2120,2021-05-13,20,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2120,2021-05-13,20,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2143,2021-06-20,20,East Windsor,Connecticut,11702,20,5,25,6,5,11,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Residence/Home
2021,2120,2021-05-19,22,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-05-26,19,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-05-29,8,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2021,2143,2021-07-11,10,East Windsor,Connecticut,11702,20,5,25,6,5,11,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2143,2021-07-13,0,East Windsor,Connecticut,11702,20,5,25,6,5,11,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Hotel/Motel/Etc.
2021,2143,2021-07-15,12,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Liquor Store
2021,2143,2021-07-15,12,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2120,2021-06-09,13,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Buying/Receiving,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-06-13,1,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Using/Consuming,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-06-13,7,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-06-24,2,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-08-19,23,East Windsor,Connecticut,11702,20,5,25,6,5,11,Stolen Property Offenses,Stolen Property Offenses,Possessing/Concealing,Convenience Store
2021,2143,2021-08-23,2,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Service/Gas Station
2021,2143,2021-08-23,2,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Service/Gas Station
2021,2120,2021-07-06,17,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Using/Consuming,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-08-31,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-08-31,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-07-11,12,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Cultivating/Manufacturing/Publishing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-07-11,12,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-07-11,12,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-07-11,12,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-09-09,1,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2120,2021-07-19,5,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2021,2143,2021-09-14,9,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Using/Consuming,Restaurant
2021,2120,2021-07-24,13,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2021,2143,2021-09-20,18,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2120,2021-07-28,10,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-08-02,22,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Using/Consuming,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-09-27,15,East Windsor,Connecticut,11702,20,5,25,6,5,11,Counterfeiting/Forgery,Counterfeiting/Forgery,Cultivating/Manufacturing/Publishing,Other/Unknown
2021,2120,2021-08-04,13,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Residence/Home
2021,2120,2021-08-09,8,Ansonia,Connecticut,18452,32,1,33,6,9,15,Pornography/Obscene Material,Pornography/Obscene Material,Distributing/Selling,Other/Unknown
2021,2120,2021-08-09,8,Ansonia,Connecticut,18452,32,1,33,6,9,15,Pornography/Obscene Material,Pornography/Obscene Material,Possessing/Concealing,Other/Unknown
2021,2143,2021-10-18,10,East Windsor,Connecticut,11702,20,5,25,6,5,11,Counterfeiting/Forgery,Counterfeiting/Forgery,Possessing/Concealing,Bank/Savings and Loan
2021,2143,2021-10-19,8,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2143,2021-10-19,8,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2120,2021-08-20,19,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-10-20,22,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2143,2021-10-25,15,East Windsor,Connecticut,11702,20,5,25,6,5,11,Counterfeiting/Forgery,Counterfeiting/Forgery,Possessing/Concealing,Bank/Savings and Loan
2021,2143,2021-10-28,15,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2143,2021-10-28,16,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-10-28,16,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-09-02,22,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Using/Consuming,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-09-03,14,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Other/Unknown
2021,2143,2021-11-03,16,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Convenience Store
